mean_iki_ms,variance_iki,burstiness,total_keys,backspace_rate,backspaces,distance_px,click_rate_per_sec,mouse_clicks,idle_time_ms
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,330,2.179246366695864e-08,201,9223372036854
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,332,2.179246366695864e-08,201,9223372036854
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,336,2.211772431870429e-08,204,9223372036854
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,340,2.233456475320139e-08,206,9223372036854
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,345,2.2659825404947043e-08,209,9223372036854
1907.0,40029230.37837838,20990.68189741918,149,0.40939597315436244,61,346,2.2768245622195593e-08,210,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,2847548
2101.6174496644294,45366218.679158755,21586.33517551089,150,0.4066666666666667,61,347,2.2876665839444144e-08,211,9223372036854
2101.6174496644294,45366218.679158755,21586.33517551089,150,0.4066666666666667,61,352,2.3093506273941244e-08,213,9223372036854
2172.9733333333334,45822434.879288845,21087.43543989902,151,0.40397350993377484,61,354,2.3201926491189795e-08,214,9223372036854
2076.578616352201,43398143.61488864,20898.86858756328,160,0.3875,62,354,2.3201926491189795e-08,214,9223372036854
2001.3333333333333,41199894.507936515,20586.22310523144,169,0.3668639053254438,62,354,2.3201926491189795e-08,214,9223372036854
1864.7814207650274,38042590.18173137,20400.562638662705,184,0.33695652173913043,62,354,2.3201926491189795e-08,214,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,355,2.3201926491189795e-08,214,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,358,2.3310346708438345e-08,215,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,359,2.3310346708438345e-08,215,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,362,2.3527187142935446e-08,217,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,367,2.3852447794681098e-08,220,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,370,2.40692882291782e-08,222,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,2907553
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,373,2.40692882291782e-08,222,9223372036854
1799.9214659685863,36553018.99383224,20308.118817929688,192,0.3229166666666667,62,376,2.40692882291782e-08,222,9223372036854
1981.8615384615384,44043065.914161876,22223.07919066396,196,0.3163265306122449,62,378,2.42861286636753e-08,224,9223372036854
1955.3165829145728,43200259.56309192,22093.7417196647,200,0.31,62,378,2.42861286636753e-08,224,9223372036854
1925.5436893203882,41847161.092751496,21732.64690115718,207,0.2995169082125604,62,378,2.42861286636753e-08,224,9223372036854
1834.6940639269405,39501658.641562946,21530.379052415108,220,0.2818181818181818,62,378,2.42861286636753e-08,224,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,379,2.42861286636753e-08,224,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,381,2.42861286636753e-08,224,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,384,2.439454888092385e-08,225,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,388,2.461138931542095e-08,227,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,390,2.461138931542095e-08,227,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,392,2.461138931542095e-08,227,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,2967544
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,395,2.461138931542095e-08,227,9223372036854
1792.7866666666666,38513447.438933484,21482.44861199333,226,0.27876106194690264,63,397,2.47198095326695e-08,228,9223372036854
1958.0176991150443,44485825.12358054,22719.82788699335,227,0.2775330396475771,63,400,2.482822974991805e-08,229,9223372036854
1958.0176991150443,44485825.12358054,22719.82788699335,227,0.2775330396475771,63,403,2.5045070184415152e-08,231,9223372036854
1970.655172413793,43866883.881093875,22260.050614214113,233,0.2703862660944206,63,405,2.5261910618912253e-08,233,9223372036854
1885.4326530612245,41674095.167913444,22103.20007996604,246,0.2601626016260163,64,405,2.5261910618912253e-08,233,9223372036854
1787.2145593869732,39275442.29112904,21975.784655984888,262,0.2480916030534351,65,405,2.5261910618912253e-08,233,9223372036854
1698.205035971223,37004876.004722804,21790.58195028805,279,0.23297491039426524,65,405,2.5261910618912253e-08,233,9223372036854
1622.2108843537414,35096023.69022159,21634.686358428175,295,0.22033898305084745,65,405,2.5261910618912253e-08,233,9223372036854
1596.890365448505,34310308.25043862,21485.70057957747,302,0.2152317880794702,65,405,2.5261910618912253e-08,233,9223372036854
1596.890365448505,34310308.25043862,21485.70057957747,302,0.2152317880794702,65,407,2.5478751053409354e-08,235,9223372036854
1578.448717948718,33350298.779421408,21128.528535765152,313,0.20766773162939298,65,408,2.5478751053409354e-08,235,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3027543
1578.448717948718,33350298.779421408,21128.528535765152,313,0.20766773162939298,65,408,2.5478751053409354e-08,235,9223372036854
1540.0460122699387,32094586.442668043,20840.017887103568,327,0.19877675840978593,65,408,2.5478751053409354e-08,235,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,408,2.5478751053409354e-08,235,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,414,2.5695591487906455e-08,237,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,418,2.6129272356900657e-08,241,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,420,2.6237692574149207e-08,242,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,423,2.6562953225894855e-08,245,9223372036854
1514.6029850746268,31272573.08118526,20647.373199019818,336,0.19345238095238096,65,426,2.6779793660391956e-08,247,9223372036854
1599.5595238095239,33597400.46074249,21004.157682564164,337,0.19287833827893175,65,428,2.6996634094889057e-08,249,9223372036854
1599.5595238095239,33597400.46074249,21004.157682564164,337,0.19287833827893175,65,431,2.7213474529386158e-08,251,9223372036854
1599.5595238095239,33597400.46074249,21004.157682564164,337,0.19287833827893175,65,431,2.7213474529386158e-08,251,9223372036854
1599.5595238095239,33597400.46074249,21004.157682564164,337,0.19287833827893175,65,433,2.7213474529386158e-08,251,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3087552
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,435,2.732189474663471e-08,252,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,438,2.753873518113181e-08,254,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,441,2.764715539838036e-08,255,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,443,2.808083626737456e-08,259,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,444,2.8189256484623112e-08,260,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,446,2.8189256484623112e-08,260,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,447,2.8189256484623112e-08,260,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,450,2.8514517136368763e-08,263,9223372036854
1635.7581120943953,33980251.68780313,20773.396406572254,340,0.19117647058823528,65,450,2.8622937353617314e-08,264,9223372036854
1703.3135593220338,37710998.42992937,22139.786431888322,355,0.19436619718309858,69,450,2.8622937353617314e-08,264,9223372036854
1703.3135593220338,37710998.42992937,22139.786431888322,355,0.19436619718309858,69,453,2.8731357570865864e-08,265,9223372036854
1719.2275280898875,37598933.36677025,21869.666901241268,357,0.19327731092436976,69,453,2.8731357570865864e-08,265,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3147545
1719.2275280898875,37598933.36677025,21869.666901241268,357,0.19327731092436976,69,454,2.8839777788114415e-08,266,9223372036854
1741.5266106442577,37670634.89915176,21630.812109851104,358,0.19273743016759776,69,456,2.9165038439860066e-08,269,9223372036854
1741.5266106442577,37670634.89915176,21630.812109851104,358,0.19273743016759776,69,458,2.9273458657108616e-08,270,9223372036854
1741.5266106442577,37670634.89915176,21630.812109851104,358,0.19273743016759776,69,460,2.9381878874357167e-08,271,9223372036854
1772.5642458100558,37909320.18442007,21386.71152485965,359,0.19220055710306408,69,461,2.9381878874357167e-08,271,9223372036854
1772.5642458100558,37909320.18442007,21386.71152485965,359,0.19220055710306408,69,463,2.9490299091605717e-08,272,9223372036854
1772.5642458100558,37909320.18442007,21386.71152485965,359,0.19220055710306408,69,466,2.9707139526102818e-08,274,9223372036854
1820.4150417827298,38623435.3179912,21216.829366652193,360,0.19444444444444445,70,468,2.981555974335137e-08,275,9223372036854
1820.4150417827298,38623435.3179912,21216.829366652193,360,0.19444444444444445,70,470,2.981555974335137e-08,275,9223372036854
1820.4150417827298,38623435.3179912,21216.829366652193,360,0.19444444444444445,70,474,3.0249240612345574e-08,279,9223372036854
1820.4150417827298,38623435.3179912,21216.829366652193,360,0.19444444444444445,70,478,3.0357660829594124e-08,280,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3207553
1863.8555555555556,39193609.08469135,21028.243829232248,361,0.19667590027700832,71,482,3.0357660829594124e-08,280,9223372036854
1850.5367847411444,38518392.89169849,20814.713443854343,368,0.19293478260869565,71,482,3.0574501264091225e-08,282,9223372036854
1850.5367847411444,38518392.89169849,20814.713443854343,368,0.19293478260869565,71,483,3.0791341698588326e-08,284,9223372036854
